epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,705.597,1.77973,0.92247,0.90963,0.91243,0.82532,0.86622,0.45432,1.73926,0.89065,0.86086,0.0005843,0.0005843,0.0005843
145,711.845,1.76335,0.90826,0.89294,0.89715,0.80198,0.86966,0.43707,1.72163,0.8306,0.85174,0.0005744,0.0005744,0.0005744
146,716.23,1.7188,0.89208,0.89454,0.84439,0.85966,0.89316,0.4739,1.65224,0.826,0.84543,0.0005645,0.0005645,0.0005645
147,720.586,1.72961,0.87208,0.90639,0.89382,0.83351,0.88664,0.45524,1.69019,0.84543,0.84949,0.0005546,0.0005546,0.0005546
148,725.071,1.83287,0.91538,0.92324,0.87576,0.83755,0.89283,0.48252,1.70566,0.84215,0.84854,0.0005447,0.0005447,0.0005447
149,729.597,1.75732,0.87088,0.90852,0.88625,0.84858,0.891,0.47285,1.67993,0.8302,0.84158,0.0005348,0.0005348,0.0005348
150,734.056,1.7382,0.86166,0.90092,0.9207,0.80473,0.88318,0.4669,1.65074,0.8589,0.83891,0.0005249,0.0005249,0.0005249
151,738.55,1.79098,0.92939,0.92128,0.88214,0.83168,0.88047,0.42466,1.76777,0.86378,0.85737,0.000515,0.000515,0.000515
152,742.826,1.71648,0.88843,0.89695,0.8699,0.84158,0.88383,0.45963,1.6977,0.82955,0.84707,0.0005051,0.0005051,0.0005051
153,748.077,1.72687,0.86811,0.91911,0.88114,0.80739,0.87425,0.42638,1.7628,0.85057,0.8447,0.0004952,0.0004952,0.0004952
154,754.711,1.65851,0.83409,0.86902,0.82637,0.85149,0.86643,0.45038,1.72186,0.85436,0.8534,0.0004853,0.0004853,0.0004853
155,759.201,1.69289,0.8163,0.90793,0.91122,0.87129,0.89984,0.4718,1.63539,0.80778,0.83686,0.0004754,0.0004754,0.0004754
156,763.648,1.69437,0.83481,0.9022,0.88875,0.87003,0.89581,0.45097,1.72049,0.85015,0.83924,0.0004655,0.0004655,0.0004655
157,768.106,1.71432,0.83671,0.89828,0.88686,0.85376,0.87555,0.46312,1.66055,0.82488,0.84145,0.0004556,0.0004556,0.0004556
158,772.718,1.71565,0.83959,0.90179,0.92785,0.78218,0.88777,0.47488,1.64829,0.8286,0.84707,0.0004457,0.0004457,0.0004457
